Id,Labels
Fake_01,original
Fake_02,Fake
Fake_03,original
Fake_04,original
Fake_05,Fake
Fake_06,Fake
Fake_07,original
Fake_08,Fake
Fake_09,original
Fake_10,Fake
Fake_11,original
Fake_12,original
Fake_13,Fake
Fake_14,original
Fake_15,original
Fake_16,Fake
Fake_17,original
Fake_18,Fake
Fake_19,Fake
Fake_20,Fake
Fake_21,original
Fake_22,Fake
Fake_23,Fake
Fake_24,Fake
Fake_25,original
Fake_26,Fake
Fake_27,original
Fake_28,Fake
Fake_29,Fake
Fake_30,original
Fake_31,Fake
Fake_32,original
Fake_33,original
Fake_34,Fake
Fake_35,original
Fake_36,original
Fake_37,original
Fake_38,Fake
Fake_39,Fake
Fake_40,Fake
Fake_41,Fake
Fake_42,Fake
Fake_43,Fake
Fake_44,original
Fake_45,original
Fake_46,original
Fake_47,Fake
Fake_48,Fake
Fake_49,Fake
Fake_50,Fake
Fake_51,Fake
Fake_52,original
Fake_53,Fake
Fake_54,original
Fake_55,Fake
Fake_56,original
Fake_57,Fake
Fake_58,Fake
Fake_59,original
Fake_60,original
Fake_61,Fake
Fake_62,original
Fake_63,original
Fake_64,Fake
Fake_65,original
Fake_66,Fake
Fake_67,original
Fake_68,original
Fake_69,original
Fake_70,original
Fake_71,original
Fake_72,original
Fake_73,original
Fake_74,original
Fake_75,original
Fake_76,Fake
Fake_77,Fake
Fake_78,original
Fake_79,Fake
Fake_80,Fake
Fake_81,original
Fake_82,Fake
Fake_83,original
Fake_84,original
Fake_85,original
Fake_86,Fake
Fake_87,original
Fake_88,original
Fake_89,original
Fake_90,original
Fake_91,Fake
Fake_92,Fake
Fake_93,Fake
Fake_94,Fake
Fake_95,Fake
Fake_96,Fake
Fake_97,original
Fake_98,original
Fake_99,Fake
Fake_100,Fake
Fake_101,Fake
Fake_102,Fake
Fake_103,Fake
Fake_104,Fake
Fake_105,original
Fake_106,Fake
Fake_107,original
Fake_108,original
Fake_109,original
Fake_110,original
Fake_111,Fake
Fake_112,original
Fake_113,Fake
Fake_114,Fake
Fake_115,original
Fake_116,Fake
Fake_117,original
Fake_118,Fake
Fake_119,original
Fake_120,Fake
Fake_121,original
Fake_122,original
Fake_123,Fake
Fake_124,Fake
Fake_125,Fake
Fake_126,original
Fake_127,original
Fake_128,original
Fake_129,Fake
Fake_130,original
Fake_131,original
Fake_132,Fake
Fake_133,Fake
Fake_134,original
Fake_135,original
Fake_136,original
Fake_137,original
Fake_138,Fake
Fake_139,original
Fake_140,Fake
Fake_141,Fake
Fake_142,Fake
Fake_143,original
Fake_144,original
Fake_145,Fake
Fake_146,Fake
Fake_147,original
Fake_148,original
Fake_149,Fake
Fake_150,Fake
Fake_151,original
Fake_152,original
Fake_153,Fake
Fake_154,original
Fake_155,Fake
Fake_156,Fake
Fake_157,Fake
Fake_158,Fake
Fake_159,Fake
Fake_160,original
Fake_161,Fake
Fake_162,Fake
Fake_163,Fake
Fake_164,Fake
Fake_165,original
Fake_166,Fake
Fake_167,original
Fake_168,original
Fake_169,original
Fake_170,original
Fake_171,original
Fake_172,Fake
Fake_173,Fake
Fake_174,original
Fake_175,original
Fake_176,Fake
Fake_177,original
Fake_178,original
Fake_179,original
Fake_180,original
Fake_181,Fake
Fake_182,original
Fake_183,original
Fake_184,Fake
Fake_185,original
Fake_186,original
Fake_187,original
Fake_188,Fake
Fake_189,Fake
Fake_190,original
Fake_191,original
Fake_192,Fake
Fake_193,original
Fake_194,Fake
Fake_195,Fake
Fake_196,original
Fake_197,Fake
Fake_198,original
Fake_199,Fake
Fake_200,Fake
Fake_201,original
Fake_202,Fake
Fake_203,Fake
Fake_204,original
Fake_205,Fake
Fake_206,Fake
Fake_207,original
Fake_208,original
Fake_209,original
Fake_210,Fake
Fake_211,Fake
Fake_212,Fake
Fake_213,Fake
Fake_214,Fake
Fake_215,original
Fake_216,Fake
Fake_217,original
Fake_218,Fake
Fake_219,Fake
Fake_220,Fake
Fake_221,original
Fake_222,original
Fake_223,Fake
Fake_224,original
Fake_225,original
Fake_226,original
Fake_227,original
Fake_228,original
Fake_229,Fake
Fake_230,original
Fake_231,original
Fake_232,Fake
Fake_233,Fake
Fake_234,Fake
Fake_235,Fake
Fake_236,Fake
Fake_237,Fake
Fake_238,Fake
Fake_239,Fake
Fake_240,Fake
Fake_241,Fake
Fake_242,Fake
Fake_243,Fake
Fake_244,Fake
Fake_245,Fake
Fake_246,Fake
Fake_247,original
Fake_248,Fake
Fake_249,original
Fake_250,original
Fake_251,original
Fake_252,original
Fake_253,original
Fake_254,original
Fake_255,Fake
Fake_256,original
Fake_257,Fake
Fake_258,Fake
Fake_259,original
Fake_260,original
Fake_261,Fake
Fake_262,original
Fake_263,original
Fake_264,original
Fake_265,original
Fake_266,Fake
Fake_267,Fake
Fake_268,original
Fake_269,original
Fake_270,original
Fake_271,Fake
Fake_272,original
Fake_273,Fake
Fake_274,Fake
Fake_275,Fake
Fake_276,Fake
Fake_277,Fake
Fake_278,original
Fake_279,original
Fake_280,Fake
Fake_281,original
Fake_282,original
Fake_283,Fake
Fake_284,Fake
Fake_285,Fake
Fake_286,original
Fake_287,original
Fake_288,Fake
Fake_289,Fake
Fake_290,original
Fake_291,original
Fake_292,original
Fake_293,Fake
Fake_294,Fake
Fake_295,Fake
Fake_296,Fake
Fake_297,Fake
Fake_298,original
Fake_299,original
Fake_300,Fake
Fake_301,Fake
Fake_302,Fake
Fake_303,original
Fake_304,Fake
Fake_305,original
Fake_306,original
Fake_307,Fake
Fake_308,original
Fake_309,original
Fake_310,Fake
Fake_311,original
Fake_312,original
Fake_313,Fake
Fake_314,original
Fake_315,Fake
Fake_316,original
Fake_317,Fake
Fake_318,original
Fake_319,Fake
Fake_320,original
Fake_321,Fake
Fake_322,Fake
Fake_323,original
Fake_324,original
Fake_325,Fake
Fake_326,Fake
Fake_327,original
Fake_328,original
Fake_329,Fake
Fake_330,original
Fake_331,Fake
Fake_332,original
Fake_333,original
Fake_334,Fake
Fake_335,Fake
Fake_336,original
Fake_337,Fake
Fake_338,Fake
Fake_339,Fake
Fake_340,original
Fake_341,Fake
Fake_342,Fake
Fake_343,Fake
Fake_344,original
Fake_345,Fake
Fake_346,Fake
Fake_347,original
Fake_348,Fake
Fake_349,Fake
Fake_350,Fake
Fake_351,original
Fake_352,Fake
Fake_353,original
Fake_354,original
Fake_355,original
Fake_356,Fake
Fake_357,Fake
Fake_358,original
Fake_359,original
Fake_360,original
Fake_361,Fake
Fake_362,Fake
Fake_363,Fake
Fake_364,Fake
Fake_365,Fake
Fake_366,Fake
Fake_367,Fake
Fake_368,Fake
Fake_369,original
Fake_370,Fake
Fake_371,Fake
Fake_372,Fake
Fake_373,original
Fake_374,Fake
Fake_375,Fake
Fake_376,original
Fake_377,original
Fake_378,original
Fake_379,Fake
Fake_380,original
Fake_381,original
Fake_382,original
Fake_383,Fake
Fake_384,Fake
Fake_385,original
Fake_386,original
Fake_387,Fake
Fake_388,original
Fake_389,original
Fake_390,Fake
Fake_391,original
Fake_392,original
Fake_393,Fake
Fake_394,Fake
Fake_395,original
Fake_396,Fake
Fake_397,original
Fake_398,original
Fake_399,Fake
Fake_400,original
Fake_401,Fake
Fake_402,original
Fake_403,Fake
Fake_404,original
Fake_405,Fake
Fake_406,original
Fake_407,Fake
Fake_408,Fake
Fake_409,original
Fake_410,original
Fake_411,Fake
Fake_412,original
Fake_413,Fake
Fake_414,Fake
Fake_415,Fake
Fake_416,Fake
Fake_417,Fake
Fake_418,original
Fake_419,Fake
Fake_420,Fake
Fake_421,Fake
Fake_422,Fake
Fake_423,Fake
Fake_424,original
Fake_425,Fake
Fake_426,original
Fake_427,original
Fake_428,original
Fake_429,original
Fake_430,Fake
Fake_431,original
Fake_432,original
Fake_433,Fake
Fake_434,Fake
Fake_435,Fake
Fake_436,original
Fake_437,Fake
Fake_438,Fake
Fake_439,Fake
Fake_440,Fake
Fake_441,original
Fake_442,Fake
Fake_443,Fake
Fake_444,original
Fake_445,Fake
Fake_446,original
Fake_447,Fake
Fake_448,Fake
Fake_449,original
Fake_450,original
Fake_451,Fake
Fake_452,original
Fake_453,Fake
Fake_454,Fake
Fake_455,original
Fake_456,Fake
Fake_457,original
Fake_458,original
Fake_459,Fake
Fake_460,original
Fake_461,Fake
Fake_462,Fake
Fake_463,original
Fake_464,original
Fake_465,original
Fake_466,original
Fake_467,original
Fake_468,original
Fake_469,original
Fake_470,Fake
Fake_471,original
Fake_472,Fake
Fake_473,Fake
Fake_474,Fake
Fake_475,Fake
Fake_476,Fake
Fake_477,original
Fake_478,original
Fake_479,Fake
Fake_480,Fake
Fake_481,Fake
Fake_482,original
Fake_483,Fake
Fake_484,Fake
Fake_485,original
Fake_486,Fake
Fake_487,Fake
Fake_488,original
Fake_489,Fake
Fake_490,Fake
Fake_491,original
Fake_492,Fake
Fake_493,Fake
Fake_494,Fake
Fake_495,Fake
Fake_496,Fake
Fake_497,original
Fake_498,Fake
Fake_499,original
Fake_500,original
Fake_501,original
Fake_502,Fake
Fake_503,Fake
Fake_504,original
Fake_505,Fake
Fake_506,original
Fake_507,original
Fake_508,original
Fake_509,original
Fake_510,original
Fake_511,original
Fake_512,original
Fake_513,Fake
Fake_514,original
Fake_515,original
Fake_516,original
Fake_517,original
Fake_518,Fake
Fake_519,original
Fake_520,original
Fake_521,original
Fake_522,original
Fake_523,Fake
Fake_524,original
Fake_525,Fake
Fake_526,original
Fake_527,Fake
Fake_528,original
Fake_529,original
Fake_530,original
Fake_531,original
Fake_532,original
Fake_533,Fake
Fake_534,original
Fake_535,Fake
Fake_536,original
Fake_537,Fake
Fake_538,Fake
Fake_539,original
Fake_540,original
Fake_541,Fake
Fake_542,Fake
Fake_543,original
Fake_544,original
Fake_545,Fake
Fake_546,original
Fake_547,Fake
Fake_548,original
Fake_549,Fake
Fake_550,original
Fake_551,Fake
Fake_552,Fake
Fake_553,Fake
Fake_554,Fake
Fake_555,original
Fake_556,Fake
Fake_557,original
Fake_558,original
Fake_559,Fake
Fake_560,original
Fake_561,original
Fake_562,original
Fake_563,Fake
Fake_564,original
Fake_565,Fake
Fake_566,original
Fake_567,original
Fake_568,Fake
Fake_569,original
Fake_570,Fake
Fake_571,Fake
Fake_572,Fake
Fake_573,Fake
Fake_574,Fake
Fake_575,original
Fake_576,original
Fake_577,original
Fake_578,original
Fake_579,original
Fake_580,Fake
Fake_581,original
Fake_582,Fake
Fake_583,original
Fake_584,Fake
Fake_585,original
Fake_586,original
Fake_587,Fake
Fake_588,Fake
Fake_589,original
Fake_590,Fake
Fake_591,Fake
Fake_592,Fake
Fake_593,original
Fake_594,original
Fake_595,Fake
Fake_596,Fake
Fake_597,original
Fake_598,Fake
Fake_599,original
Fake_600,Fake
Fake_601,original
Fake_602,original
Fake_603,Fake
Fake_604,original
Fake_605,original
Fake_606,Fake
Fake_607,original
Fake_608,Fake
Fake_609,Fake
Fake_610,original
Fake_611,Fake
Fake_612,original
Fake_613,Fake
Fake_614,original
Fake_615,Fake
Fake_616,original
Fake_617,Fake
Fake_618,Fake
Fake_619,Fake
Fake_620,original
Fake_621,Fake
Fake_622,original
Fake_623,original
Fake_624,original
Fake_625,Fake
Fake_626,Fake
Fake_627,Fake
Fake_628,original
Fake_629,original
Fake_630,original
Fake_631,original
Fake_632,original
Fake_633,Fake
Fake_634,original
Fake_635,original
Fake_636,Fake
Fake_637,Fake
Fake_638,Fake
Fake_639,Fake
Fake_640,Fake
Fake_641,original
Fake_642,Fake
Fake_643,original
Fake_644,original
Fake_645,Fake
Fake_646,Fake
Fake_647,original
Fake_648,original
Fake_649,Fake
Fake_650,Fake
Fake_651,Fake
Fake_652,Fake
Fake_653,Fake
Fake_654,original
Fake_655,Fake
Fake_656,Fake
Fake_657,Fake
Fake_658,Fake
Fake_659,original
Fake_660,Fake
Fake_661,original
Fake_662,Fake
Fake_663,original
Fake_664,Fake
Fake_665,original
Fake_666,Fake
Fake_667,Fake
Fake_668,original
Fake_669,original
Fake_670,Fake
Fake_671,Fake
Fake_672,original
Fake_673,original
Fake_674,original
Fake_675,original
Fake_676,Fake
Fake_677,original
Fake_678,original
Fake_679,original
Fake_680,Fake
Fake_681,original
Fake_682,original
Fake_683,Fake
Fake_684,Fake
Fake_685,Fake
Fake_686,original
Fake_687,original
Fake_688,original
Fake_689,original
Fake_690,original
Fake_691,original
Fake_692,Fake
Fake_693,original
Fake_694,original
Fake_695,Fake
Fake_696,original
Fake_697,Fake
Fake_698,Fake
Fake_699,Fake
Fake_700,original
Fake_701,original
Fake_702,Fake
Fake_703,original
Fake_704,Fake
Fake_705,original
Fake_706,Fake
Fake_707,original
Fake_708,original
Fake_709,original
Fake_710,Fake
Fake_711,Fake
Fake_712,original
Fake_713,Fake
Fake_714,original
Fake_715,Fake
Fake_716,Fake
Fake_717,original
Fake_718,Fake
Fake_719,original
Fake_720,Fake
Fake_721,Fake
Fake_722,Fake
Fake_723,original
Fake_724,Fake
Fake_725,Fake
Fake_726,original
Fake_727,Fake
Fake_728,original
Fake_729,Fake
Fake_730,Fake
Fake_731,Fake
Fake_732,original
Fake_733,Fake
Fake_734,Fake
Fake_735,original
Fake_736,Fake
Fake_737,original
Fake_738,Fake
Fake_739,Fake
Fake_740,original
Fake_741,Fake
Fake_742,original
Fake_743,original
Fake_744,Fake
Fake_745,Fake
Fake_746,original
Fake_747,original
Fake_748,Fake
Fake_749,Fake
Fake_750,Fake
Fake_751,Fake
Fake_752,Fake
Fake_753,Fake
Fake_754,Fake
Fake_755,Fake
Fake_756,original
Fake_757,original
Fake_758,Fake
Fake_759,Fake
Fake_760,original
Fake_761,original
Fake_762,Fake
Fake_763,Fake
Fake_764,Fake
Fake_765,original
Fake_766,original
Fake_767,original
Fake_768,Fake
Fake_769,original
Fake_770,Fake
Fake_771,Fake
Fake_772,original
Fake_773,original
Fake_774,original
Fake_775,original
Fake_776,original
Fake_777,original
Fake_778,Fake
Fake_779,Fake
Fake_780,Fake
Fake_781,Fake
Fake_782,Fake
Fake_783,Fake
Fake_784,Fake
Fake_785,original
Fake_786,original
Fake_787,original
Fake_788,original
Fake_789,Fake
Fake_790,original
Fake_791,Fake
Fake_792,Fake
Fake_793,original
Fake_794,Fake
Fake_795,original
Fake_796,original
Fake_797,original
Fake_798,original
Fake_799,original
Fake_800,original
Fake_801,original
Fake_802,Fake
Fake_803,Fake
Fake_804,original
Fake_805,original
Fake_806,original
Fake_807,Fake
Fake_808,Fake
Fake_809,Fake
Fake_810,original
Fake_811,Fake
Fake_812,Fake
Fake_813,Fake
Fake_814,Fake
Fake_815,Fake
Fake_816,original
Fake_817,original
Fake_818,original
Fake_819,Fake
Fake_820,original
Fake_821,original
Fake_822,original
Fake_823,original
Fake_824,original
Fake_825,Fake
Fake_826,original
Fake_827,original
Fake_828,original
Fake_829,original
Fake_830,Fake
Fake_831,original
Fake_832,original
Fake_833,Fake
Fake_834,Fake
Fake_835,Fake
Fake_836,Fake
Fake_837,Fake
Fake_838,original
Fake_839,original
Fake_840,Fake
Fake_841,original
Fake_842,Fake
Fake_843,Fake
Fake_844,original
Fake_845,original
Fake_846,Fake
Fake_847,Fake
Fake_848,original
Fake_849,original
Fake_850,original
Fake_851,Fake
Fake_852,original
Fake_853,Fake
Fake_854,original
Fake_855,original
Fake_856,Fake
Fake_857,Fake
Fake_858,Fake
Fake_859,Fake
Fake_860,Fake
Fake_861,Fake
Fake_862,original
Fake_863,original
Fake_864,original
Fake_865,Fake
Fake_866,original
Fake_867,Fake
Fake_868,original
Fake_869,Fake
Fake_870,Fake
Fake_871,original
Fake_872,Fake
Fake_873,original
Fake_874,Fake
Fake_875,Fake
Fake_876,original
Fake_877,original
Fake_878,Fake
Fake_879,original
Fake_880,Fake
Fake_881,Fake
Fake_882,Fake
Fake_883,Fake
Fake_884,Fake
Fake_885,Fake
Fake_886,original
Fake_887,original
Fake_888,original
Fake_889,original
Fake_890,Fake
Fake_891,original
Fake_892,original
Fake_893,original
Fake_894,Fake
Fake_895,Fake
Fake_896,original
Fake_897,Fake
Fake_898,Fake
Fake_899,original
Fake_900,original
Fake_901,original
Fake_902,original
Fake_903,Fake
Fake_904,original
Fake_905,original
Fake_906,original
Fake_907,Fake
Fake_908,original
Fake_909,original
Fake_910,original
Fake_911,Fake
Fake_912,original
Fake_913,Fake
Fake_914,Fake
Fake_915,Fake
Fake_916,original
Fake_917,Fake
Fake_918,original
Fake_919,Fake
Fake_920,original
Fake_921,Fake
Fake_922,original
Fake_923,original
Fake_924,Fake
Fake_925,Fake
Fake_926,original
Fake_927,original
Fake_928,original
Fake_929,original
Fake_930,original
Fake_931,original
Fake_932,original
Fake_933,Fake
Fake_934,original
Fake_935,Fake
Fake_936,original
Fake_937,Fake
Fake_938,original
Fake_939,Fake
Fake_940,original
Fake_941,original
Fake_942,original
Fake_943,Fake
Fake_944,Fake
Fake_945,Fake
Fake_946,Fake
Fake_947,original
Fake_948,original
Fake_949,Fake
Fake_950,original
Fake_951,Fake
Fake_952,original
Fake_953,Fake
Fake_954,original
Fake_955,original
Fake_956,Fake
Fake_957,original
Fake_958,Fake
Fake_959,original
Fake_960,original
Fake_961,original
Fake_962,Fake
Fake_963,original
Fake_964,original
Fake_965,original
Fake_966,Fake
Fake_967,Fake
Fake_968,Fake
Fake_969,Fake
Fake_970,Fake
Fake_971,Fake
Fake_972,Fake
Fake_973,Fake
Fake_974,Fake
Fake_975,Fake
Fake_976,Fake
Fake_977,original
Fake_978,Fake
Fake_979,original
Fake_980,original
Fake_981,Fake
Fake_982,Fake
Fake_983,original
Fake_984,original
Fake_985,Fake
Fake_986,Fake
Fake_987,Fake
Fake_988,original
Fake_989,Fake
Fake_990,original
Fake_991,original
Fake_992,original
Fake_993,original
Fake_994,original
Fake_995,Fake
Fake_996,original
Fake_997,original
Fake_998,Fake
Fake_999,Fake
Fake_1000,Fake
Fake_1001,original
Fake_1002,original
Fake_1003,Fake
Fake_1004,Fake
Fake_1005,original
Fake_1006,original
Fake_1007,Fake
Fake_1008,Fake
Fake_1009,Fake
Fake_1010,Fake
Fake_1011,Fake
Fake_1012,original
Fake_1013,original
Fake_1014,Fake
Fake_1015,Fake
Fake_1016,Fake
Fake_1017,original
Fake_1018,Fake
Fake_1019,original
